"Line","Fhb1","1RS:1AL","Lr34/Yr18","Sr24/Lr24","Tamyb10-B1","Tamyb10-D1","Fhb_3B_MASSEY","Yr15","Lr42","Glu-D1","Rht24","Ppd-B1_CS","Glu-A1","Vrn-A1b","H13","H13b"
"2024-BIGSIX-101","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-102","Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-103","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24_het","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-104","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-105","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-106","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax2","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-107","non-Fhb1","non-1RS:1AL","ND","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","ND","non-Ppd-B1a_CS_insens","Ax2","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-108","na","non-1RS:1AL","ND","non-Sr24/Lr24","R-A1","r-D1_white","ND","non-Yr15","non-Lr42","5+10","ND","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-BIGSIX-109","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","het","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-110","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-111","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-112","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-113","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-BIGSIX-114","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-115","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","ND","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-116","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-BIGSIX-117","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-BIGSIX-118","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-119","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-BIGSIX-120","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax2","Vrn-A1b","non-H13","non-H13b"
